dealer_up,initial_hand,dealer_final,dealer_final_value,player_final,player_final_value,actions_taken,win
7,"[10, 6]","[7, 9, 9]",25,"[[10, 6, 4]]",[20],"[['H', 'S']]",1.0
3,"[11, 8]","[3, 2, 7, 3, 11, 5]",21,"[[11, 8]]",[19],[['S']],-1.0
10,"[10, 6]","[10, 10]",20,"[[10, 6]]",[16],[['R']],-0.5
8,"[9, 10]","[8, 2, 5, 10]",25,"[[9, 10]]",[19],[['S']],1.0
10,"[3, 7]","[10, 11]",BJ,"[[3, 7]]",[10],[[]],-1.0
3,"[4, 3]","[3, 10, 9]",22,"[[4, 3, 9]]",[16],"[['H', 'S']]",1.0
4,"[10, 7]","[4, 2, 9, 11, 10]",26,"[[10, 7]]",[17],[['S']],1.0
2,"[10, 6]","[2, 10, 10]",22,"[[10, 6]]",[16],[['S']],1.0
11,"[9, 2]","[11, 10]",BJ,"[[9, 2]]",[11],[['N']],-1.0
10,"[10, 10]","[10, 4, 10]",24,"[[10, 10]]",[20],[['S']],1.0
2,"[10, 2]","[2, 10, 8]",20,"[[10, 2, 5]]",[17],"[['H', 'S']]",-1.0
10,"[9, 4]","[10, 11]",BJ,"[[9, 4]]",[13],[[]],-1.0
10,"[4, 8]","[10, 10]",20,"[[4, 8, 10]]",[22],[['H']],-1.0
5,"[8, 4]","[5, 8, 2, 2]",17,"[[8, 4]]",[12],[['S']],-1.0
11,"[4, 6]","[11, 10]",BJ,"[[4, 6]]",[10],[['N']],-1.0
10,"[6, 3]","[10, 10]",20,"[[6, 3, 9]]",[18],"[['H', 'S']]",-1.0
10,"[11, 10]","[10, 9]",19,"[[11, 10]]",['BJ'],[['S']],1.5
3,"[9, 8]","[3, 10, 2, 10]",25,"[[9, 8]]",[17],[['S']],1.0
3,"[10, 10]","[3, 8, 9]",20,"[[10, 10]]",[20],[['S']],0.0
6,"[4, 10]","[6, 3, 11]",20,"[[4, 10]]",[14],[['S']],-1.0
5,"[2, 5]","[5, 10, 10]",25,"[[2, 5, 8]]",[15],"[['H', 'S']]",1.0
8,"[5, 6]","[8, 3, 10]",21,"[[5, 6, 10]]",[21],[['D']],0.0
7,"[5, 5]","[7, 9, 4]",20,"[[5, 5, 8]]",[18],[['D']],-2.0
10,"[10, 9]","[10, 4, 10]",24,"[[10, 9]]",[19],[['S']],1.0
9,"[8, 4]","[9, 3, 4, 10]",26,"[[8, 4, 10]]",[22],[['H']],-1.0
3,"[3, 10]","[3, 10, 10]",23,"[[3, 10]]",[13],[['S']],1.0
8,"[3, 10]","[8, 2, 10]",20,"[[3, 10, 2, 8]]",[23],"[['H', 'H']]",-1.0
11,"[4, 10]","[11, 6, 2]",19,"[[4, 10, 5]]",[19],"[['N', 'H', 'S']]",0.0
11,"[10, 7]","[11, 9]",20,"[[10, 7]]",[17],"[['N', 'R']]",-0.5
5,"[9, 8]","[5, 10, 7]",22,"[[9, 8]]",[17],[['S']],1.0
5,"[7, 8]","[5, 6, 7]",18,"[[7, 8]]",[15],[['S']],-1.0
8,"[10, 2]","[8, 7, 3]",18,"[[10, 2, 5]]",[17],"[['H', 'S']]",-1.0
5,"[10, 4]","[5, 10, 10]",25,"[[10, 4]]",[14],[['S']],1.0
3,"[9, 10]","[3, 3, 11, 2]",19,"[[9, 10]]",[19],[['S']],0.0
2,"[6, 5]","[2, 5, 3, 6, 11]",17,"[[6, 5, 10]]",[21],[['D']],2.0
7,"[5, 10]","[7, 11]",18,"[[5, 10, 3]]",[18],"[['H', 'S']]",0.0
10,"[5, 9]","[10, 3, 2, 3]",18,"[[5, 9, 10]]",[24],[['H']],-1.0
6,"[7, 6]","[6, 10, 11]",17,"[[7, 6]]",[13],[['S']],-1.0
4,"[3, 7]","[4, 3, 11]",18,"[[3, 7, 2]]",[12],[['D']],-2.0
10,"[9, 8]","[10, 3, 8]",21,"[[9, 8]]",[17],[['S']],-1.0
8,"[10, 10]","[8, 2, 5, 7]",22,"[[10, 10]]",[20],[['S']],1.0
9,"[8, 5]","[9, 10]",19,"[[8, 5, 3, 5]]",[21],"[['H', 'H', 'S']]",1.0
10,"[10, 10]","[10, 7]",17,"[[10, 10]]",[20],[['S']],1.0
2,"[10, 10]","[2, 11, 8]",21,"[[10, 10]]",[20],[['S']],-1.0
7,"[7, 2]","[7, 10]",17,"[[7, 2, 10]]",[19],"[['H', 'S']]",1.0
10,"[5, 5]","[10, 7]",17,"[[5, 5, 10]]",[20],"[['H', 'S']]",1.0
2,"[2, 10]","[2, 6, 11]",19,"[[2, 10, 7]]",[19],"[['H', 'S']]",0.0
6,"[7, 10]","[6, 11, 2]",19,"[[7, 10]]",[17],[['S']],-1.0
11,"[5, 10]","[11, 6, 10]",17,"[[5, 10]]",[15],"[['N', 'R']]",-0.5
4,"[10, 10]","[4, 10, 2, 10]",26,"[[10, 10]]",[20],[['S']],1.0
10,"[3, 3]","[10, 10]",20,"[[3, 3, 2, 7, 9]]",[24],"[['H', 'H', 'H']]",-1.0
11,"[6, 9]","[11, 7]",18,"[[6, 9]]",[15],"[['N', 'R']]",-0.5
6,"[7, 10]","[6, 10, 6]",22,"[[7, 10]]",[17],[['S']],1.0
10,"[10, 9]","[10, 10]",20,"[[10, 9]]",[19],[['S']],-1.0
10,"[4, 8]","[10, 8]",18,"[[4, 8, 6]]",[18],"[['H', 'S']]",0.0
9,"[10, 10]","[9, 7, 9]",25,"[[10, 10]]",[20],[['S']],1.0
9,"[11, 5]","[9, 3, 10]",22,"[[11, 5, 9, 10]]",[25],"[['H', 'H']]",-1.0
4,"[2, 10]","[4, 11, 10, 11, 8]",24,"[[2, 10]]",[12],[['S']],1.0
10,"[10, 8]","[10, 4, 10]",24,"[[10, 8]]",[18],[['S']],1.0
9,"[8, 10]","[9, 10]",19,"[[8, 10]]",[18],[['S']],-1.0
4,"[4, 4]","[4, 6, 2, 2, 11, 4]",19,"[[4, 4, 11]]",[19],"[['H', 'S']]",0.0
11,"[10, 7]","[11, 3, 2, 10, 5]",21,"[[10, 7]]",[17],"[['N', 'R']]",-0.5
10,"[9, 5]","[10, 6, 7]",23,"[[9, 5, 10]]",[24],[['H']],-1.0
11,"[6, 10]","[11, 9]",20,"[[6, 10]]",[16],"[['N', 'R']]",-0.5
8,"[10, 8]","[8, 9]",17,"[[10, 8]]",[18],[['S']],1.0
4,"[7, 10]","[4, 10, 5]",19,"[[7, 10]]",[17],[['S']],-1.0
10,"[6, 8]","[10, 10]",20,"[[6, 8, 10]]",[24],[['H']],-1.0
10,"[4, 7]","[10, 6, 10]",26,"[[4, 7, 5]]",[16],[['D']],2.0
10,"[9, 4]","[10, 4, 8]",22,"[[9, 4, 3, 10]]",[26],"[['H', 'H']]",-1.0
5,"[5, 2]","[5, 11, 6, 9]",21,"[[5, 2, 3, 10]]",[20],"[['H', 'H', 'S']]",-1.0
6,"[8, 6]","[6, 10, 11]",17,"[[8, 6]]",[14],[['S']],-1.0
10,"[3, 9]","[10, 5, 10]",25,"[[3, 9, 7]]",[19],"[['H', 'S']]",1.0
7,"[8, 10]","[7, 5, 5]",17,"[[8, 10]]",[18],[['S']],1.0
10,"[10, 7]","[10, 8]",18,"[[10, 7]]",[17],[['S']],-1.0
9,"[11, 8]","[9, 10]",19,"[[11, 8]]",[19],[['S']],0.0
8,"[8, 10]","[8, 6, 7]",21,"[[8, 10]]",[18],[['S']],-1.0
8,"[4, 10]","[8, 3, 10]",21,"[[4, 10, 4]]",[18],"[['H', 'S']]",-1.0
8,"[10, 10]","[8, 3, 10]",21,"[[10, 10]]",[20],[['S']],-1.0
10,"[6, 5]","[10, 2, 10]",22,"[[6, 5, 11]]",[12],[['D']],2.0
10,"[10, 3]","[10, 9]",19,"[[10, 3, 10]]",[23],[['H']],-1.0
10,"[10, 2]","[10, 10]",20,"[[10, 2, 9]]",[21],"[['H', 'S']]",1.0
10,"[10, 8]","[10, 2, 2, 7]",21,"[[10, 8]]",[18],[['S']],-1.0
9,"[11, 10]","[9, 3, 9]",21,"[[11, 10]]",['BJ'],[['S']],1.5
6,"[2, 3]","[6, 10, 7]",23,"[[2, 3, 10]]",[15],"[['H', 'S']]",1.0
9,"[5, 10]","[9, 3, 6]",18,"[[5, 10, 9]]",[24],[['H']],-1.0
10,"[10, 7]","[10, 10]",20,"[[10, 7]]",[17],[['S']],-1.0
10,"[6, 8]","[10, 9]",19,"[[6, 8, 9]]",[23],[['H']],-1.0
10,"[7, 10]","[10, 5, 10]",25,"[[7, 10]]",[17],[['S']],1.0
9,"[11, 7]","[9, 11]",20,"[[11, 7, 7, 10]]",[25],"[['H', 'H']]",-1.0
10,"[2, 10]","[10, 3, 5]",18,"[[2, 10, 6]]",[18],"[['H', 'S']]",0.0
3,"[10, 10]","[3, 4, 10]",17,"[[10, 10]]",[20],[['S']],1.0
9,"[10, 5]","[9, 10]",19,"[[10, 5, 5]]",[20],"[['H', 'S']]",1.0
3,"[2, 2]","[3, 6, 10]",19,"[[2, 7, 10], [2, 9, 10]]","[19, 21]","[['P', 'D'], ['D']]",2.0
4,"[2, 10]","[4, 4, 6, 10]",24,"[[2, 10]]",[12],[['S']],1.0
11,"[10, 11]","[11, 9]",20,"[[10, 11]]",['BJ'],"[['N', 'S']]",1.5
10,"[7, 8]","[10, 8]",18,"[[7, 8]]",[15],[['R']],-0.5
6,"[9, 5]","[6, 6, 5]",17,"[[9, 5]]",[14],[['S']],-1.0
4,"[5, 3]","[4, 10, 7]",21,"[[5, 3, 10]]",[18],"[['H', 'S']]",-1.0
5,"[4, 6]","[5, 11, 5]",21,"[[4, 6, 7]]",[17],[['D']],-2.0
6,"[11, 10]","[6, 10, 6]",22,"[[11, 10]]",['BJ'],[['S']],1.5
4,"[6, 6]","[4, 11, 10, 10]",25,"[[6, 9], [6, 8]]","[15, 14]","[['P', 'S'], ['S']]",2.0
7,"[3, 10]","[7, 2, 5, 11, 3]",18,"[[3, 10, 10]]",[23],[['H']],-1.0
5,"[7, 5]","[5, 6, 7]",18,"[[7, 5]]",[12],[['S']],-1.0
10,"[4, 2]","[10, 4, 3]",17,"[[4, 2, 4, 10]]",[20],"[['H', 'H', 'S']]",1.0
4,"[11, 10]","[4, 6, 2, 2, 6]",20,"[[11, 10]]",['BJ'],[['S']],1.5
7,"[6, 2]","[7, 4, 5, 10]",26,"[[6, 2, 10]]",[18],"[['H', 'S']]",1.0
4,"[10, 11]","[4, 2, 8, 10]",24,"[[10, 11]]",['BJ'],[['S']],1.5
10,"[11, 7]","[10, 11]",BJ,"[[11, 7]]",[18],[[]],-1.0
7,"[10, 8]","[7, 3, 7]",17,"[[10, 8]]",[18],[['S']],1.0
10,"[9, 7]","[10, 3, 6]",19,"[[9, 7]]",[16],[['R']],-0.5
10,"[3, 8]","[10, 10]",20,"[[3, 8, 9]]",[20],[['D']],0.0
5,"[10, 10]","[5, 4, 5, 10]",24,"[[10, 10]]",[20],[['S']],1.0
10,"[11, 11]","[10, 3, 3, 10]",26,"[[11, 7], [11, 3]]","[18, 14]","[['P'], []]",2.0
9,"[8, 2]","[9, 9]",18,"[[8, 2, 7]]",[17],[['D']],-2.0
8,"[9, 11]","[8, 8, 10]",26,"[[9, 11]]",[20],[['S']],1.0
11,"[10, 3]","[11, 11, 5, 5, 8]",20,"[[10, 3, 8]]",[21],"[['N', 'H', 'S']]",1.0
10,"[9, 4]","[10, 10]",20,"[[9, 4, 10]]",[23],[['H']],-1.0
4,"[6, 10]","[4, 9, 4]",17,"[[6, 10]]",[16],[['S']],-1.0
9,"[10, 10]","[9, 11]",20,"[[10, 10]]",[20],[['S']],0.0
9,"[6, 11]","[9, 10]",19,"[[6, 11, 10]]",[17],"[['H', 'S']]",-1.0
3,"[6, 11]","[3, 10, 6]",19,"[[6, 11, 11]]",[18],[['D']],-2.0
10,"[2, 8]","[10, 8]",18,"[[2, 8, 2, 7]]",[19],"[['H', 'H', 'S']]",1.0
4,"[11, 2]","[4, 10, 10]",24,"[[11, 2, 11, 4]]",[18],"[['H', 'H', 'S']]",1.0
9,"[10, 8]","[9, 9]",18,"[[10, 8]]",[18],[['S']],0.0
3,"[6, 10]","[3, 8, 10]",21,"[[6, 10]]",[16],[['S']],-1.0
9,"[2, 10]","[9, 8]",17,"[[2, 10, 5]]",[17],"[['H', 'S']]",0.0
6,"[5, 10]","[6, 11, 2]",19,"[[5, 10]]",[15],[['S']],-1.0
7,"[10, 10]","[7, 10]",17,"[[10, 10]]",[20],[['S']],1.0
7,"[4, 6]","[7, 6, 3, 11]",17,"[[4, 6, 7]]",[17],[['D']],0.0
2,"[2, 10]","[2, 3, 10, 10]",25,"[[2, 10, 7]]",[19],"[['H', 'S']]",1.0
10,"[5, 9]","[10, 10]",20,"[[5, 9, 4]]",[18],"[['H', 'S']]",-1.0
2,"[4, 10]","[2, 10, 10]",22,"[[4, 10]]",[14],[['S']],1.0
4,"[4, 7]","[4, 10, 5]",19,"[[4, 7, 7]]",[18],[['D']],-2.0
10,"[9, 2]","[10, 4, 4]",18,"[[9, 2, 4]]",[15],[['D']],-2.0
10,"[2, 2]","[10, 7]",17,"[[2, 2, 10, 3]]",[17],"[['H', 'H', 'S']]",0.0
7,"[5, 6]","[7, 10]",17,"[[5, 6, 8]]",[19],[['D']],2.0
9,"[5, 10]","[9, 11]",20,"[[5, 10, 6]]",[21],"[['H', 'S']]",1.0
6,"[4, 6]","[6, 7, 6]",19,"[[4, 6, 8]]",[18],[['D']],-2.0
10,"[7, 10]","[10, 2, 4, 9]",25,"[[7, 10]]",[17],[['S']],1.0
3,"[7, 11]","[3, 3, 2, 10]",18,"[[7, 11, 2]]",[20],[['D']],2.0
10,"[5, 11]","[10, 5, 8]",23,"[[5, 11, 11, 11, 7, 7]]",[22],"[['H', 'H', 'H', 'H']]",-1.0
4,"[9, 10]","[4, 4, 11]",19,"[[9, 10]]",[19],[['S']],0.0
2,"[10, 5]","[2, 9, 5, 10]",26,"[[10, 5]]",[15],[['S']],1.0
2,"[10, 10]","[2, 4, 5, 6]",17,"[[10, 10]]",[20],[['S']],1.0
10,"[5, 2]","[10, 10]",20,"[[5, 2, 9, 10]]",[26],"[['H', 'H']]",-1.0
10,"[2, 11]","[10, 9]",19,"[[2, 11, 10, 10]]",[23],"[['H', 'H']]",-1.0
11,"[4, 6]","[11, 5, 5]",21,"[[4, 6, 4, 10]]",[24],"[['N', 'H', 'H']]",-1.0
10,"[4, 7]","[10, 9]",19,"[[4, 7, 10]]",[21],[['D']],2.0
6,"[6, 6]","[6, 10, 7]",23,"[[6, 10], [6, 4, 10]]","[16, 20]","[['P', 'S'], ['D']]",3.0
11,"[6, 11]","[11, 7]",18,"[[6, 11, 4]]",[21],"[['N', 'H', 'S']]",1.0
10,"[10, 4]","[10, 3, 10]",23,"[[10, 4, 10]]",[24],[['H']],-1.0
6,"[7, 2]","[6, 9, 10]",25,"[[7, 2, 8]]",[17],[['D']],2.0
4,"[10, 10]","[4, 6, 10]",20,"[[10, 10]]",[20],[['S']],0.0
8,"[11, 6]","[8, 10]",18,"[[11, 6, 5, 5]]",[17],"[['H', 'H', 'S']]",-1.0
9,"[8, 8]","[9, 10]",19,"[[8, 10], [8, 3, 3], [8, 6, 3]]","[18, 14, 17]","[['P', 'P', 'S'], ['D'], ['H', 'S']]",-4.0
11,"[10, 10]","[11, 5, 10, 11]",17,"[[10, 10]]",[20],"[['N', 'S']]",1.0
2,"[7, 9]","[2, 10, 10]",22,"[[7, 9]]",[16],[['S']],1.0
3,"[10, 3]","[3, 10, 11, 11, 6]",21,"[[10, 3]]",[13],[['S']],-1.0
3,"[10, 9]","[3, 10, 2, 10]",25,"[[10, 9]]",[19],[['S']],1.0
7,"[8, 10]","[7, 3, 8]",18,"[[8, 10]]",[18],[['S']],0.0
9,"[9, 8]","[9, 2, 2, 10]",23,"[[9, 8]]",[17],[['S']],1.0
10,"[10, 10]","[10, 11]",BJ,"[[10, 10]]",[20],[[]],-1.0
3,"[10, 5]","[3, 6, 11]",20,"[[10, 5]]",[15],[['S']],-1.0
2,"[10, 8]","[2, 6, 9]",17,"[[10, 8]]",[18],[['S']],1.0
5,"[9, 10]","[5, 10, 3]",18,"[[9, 10]]",[19],[['S']],1.0
11,"[2, 10]","[11, 5, 10, 10]",26,"[[2, 10, 5]]",[17],"[['N', 'H', 'S']]",1.0
5,"[6, 10]","[5, 10, 5]",20,"[[6, 10]]",[16],[['S']],-1.0
10,"[10, 7]","[10, 6, 6]",22,"[[10, 7]]",[17],[['S']],1.0
10,"[10, 5]","[10, 11]",BJ,"[[10, 5]]",[15],[[]],-1.0
6,"[8, 4]","[6, 8, 6]",20,"[[8, 4]]",[12],[['S']],-1.0
10,"[3, 5]","[10, 9]",19,"[[3, 5, 10]]",[18],"[['H', 'S']]",-1.0
3,"[10, 3]","[3, 2, 10, 10]",25,"[[10, 3]]",[13],[['S']],1.0
10,"[10, 3]","[10, 6, 6]",22,"[[10, 3, 2, 6]]",[21],"[['H', 'H', 'S']]",1.0
6,"[3, 10]","[6, 10, 8]",24,"[[3, 10]]",[13],[['S']],1.0
9,"[10, 3]","[9, 9]",18,"[[10, 3, 10]]",[23],[['H']],-1.0
3,"[4, 7]","[3, 3, 2, 4, 9]",21,"[[4, 7, 9]]",[20],[['D']],-2.0
10,"[10, 10]","[10, 9]",19,"[[10, 10]]",[20],[['S']],1.0
4,"[6, 8]","[4, 2, 8, 8]",22,"[[6, 8]]",[14],[['S']],1.0
8,"[5, 10]","[8, 10]",18,"[[5, 10, 10]]",[25],[['H']],-1.0
10,"[2, 10]","[10, 10]",20,"[[2, 10, 11, 8]]",[21],"[['H', 'H', 'S']]",1.0
11,"[10, 10]","[11, 7]",18,"[[10, 10]]",[20],"[['N', 'S']]",1.0
3,"[10, 5]","[3, 7, 10]",20,"[[10, 5]]",[15],[['S']],-1.0
4,"[10, 2]","[4, 5, 2, 7]",18,"[[10, 2]]",[12],[['S']],-1.0
7,"[5, 2]","[7, 7, 11, 3]",18,"[[5, 2, 5, 4, 9]]",[25],"[['H', 'H', 'H']]",-1.0
10,"[3, 5]","[10, 11]",BJ,"[[3, 5]]",[8],[[]],-1.0
10,"[8, 7]","[10, 10]",20,"[[8, 7]]",[15],[['R']],-0.5
10,"[9, 8]","[10, 4, 11, 8]",23,"[[9, 8]]",[17],[['S']],1.0
10,"[10, 6]","[10, 10]",20,"[[10, 6]]",[16],[['R']],-0.5
2,"[4, 3]","[2, 6, 6, 10]",24,"[[4, 3, 7]]",[14],"[['H', 'S']]",1.0
10,"[4, 10]","[10, 9]",19,"[[4, 10, 2, 10]]",[26],"[['H', 'H']]",-1.0
10,"[3, 7]","[10, 10]",20,"[[3, 7, 10]]",[20],"[['H', 'S']]",0.0
10,"[10, 10]","[10, 3, 10]",23,"[[10, 10]]",[20],[['S']],1.0
7,"[3, 2]","[7, 11]",18,"[[3, 2, 7, 10]]",[22],"[['H', 'H']]",-1.0
6,"[10, 8]","[6, 8, 5]",19,"[[10, 8]]",[18],[['S']],-1.0
8,"[8, 4]","[8, 4, 8]",20,"[[8, 4, 11, 2, 7]]",[22],"[['H', 'H', 'H']]",-1.0
6,"[5, 10]","[6, 10, 5]",21,"[[5, 10]]",[15],[['S']],-1.0
10,"[10, 5]","[10, 10]",20,"[[10, 5]]",[15],[['R']],-0.5
10,"[11, 10]","[10, 9]",19,"[[11, 10]]",['BJ'],[['S']],1.5
8,"[2, 6]","[8, 7, 3]",18,"[[2, 6, 10]]",[18],"[['H', 'S']]",0.0
3,"[9, 3]","[3, 9, 8]",20,"[[9, 3, 10]]",[22],[['H']],-1.0
10,"[10, 2]","[10, 4, 7]",21,"[[10, 2, 9]]",[21],"[['H', 'S']]",0.0
9,"[10, 8]","[9, 9]",18,"[[10, 8]]",[18],[['S']],0.0
9,"[10, 10]","[9, 10]",19,"[[10, 10]]",[20],[['S']],1.0
10,"[9, 3]","[10, 10]",20,"[[9, 3, 10]]",[22],[['H']],-1.0
6,"[3, 10]","[6, 11, 10]",17,"[[3, 10]]",[13],[['S']],-1.0
6,"[6, 10]","[6, 2, 11]",19,"[[6, 10]]",[16],[['S']],-1.0
4,"[2, 3]","[4, 10, 10]",24,"[[2, 3, 8]]",[13],"[['H', 'S']]",1.0
10,"[6, 9]","[10, 10]",20,"[[6, 9]]",[15],[['R']],-0.5
4,"[10, 6]","[4, 10, 4]",18,"[[10, 6]]",[16],[['S']],-1.0
2,"[6, 5]","[2, 3, 2, 9, 6]",22,"[[6, 5, 3]]",[14],[['D']],2.0
8,"[3, 11]","[8, 2, 6, 9]",25,"[[3, 11, 3, 11]]",[18],"[['H', 'H', 'S']]",1.0
2,"[11, 3]","[2, 10, 2, 7]",21,"[[11, 3, 9]]",[13],"[['H', 'S']]",-1.0
7,"[2, 11]","[7, 11]",18,"[[2, 11, 8]]",[21],"[['H', 'S']]",1.0
8,"[2, 10]","[8, 10]",18,"[[2, 10, 10]]",[22],[['H']],-1.0
10,"[11, 4]","[10, 5, 4]",19,"[[11, 4, 5]]",[20],"[['H', 'S']]",1.0
10,"[5, 10]","[10, 7]",17,"[[5, 10]]",[15],[['R']],-0.5
11,"[9, 10]","[11, 2, 10, 6]",19,"[[9, 10]]",[19],"[['N', 'S']]",0.0
4,"[7, 5]","[4, 10, 5]",19,"[[7, 5]]",[12],[['S']],-1.0
4,"[4, 8]","[4, 7, 10]",21,"[[4, 8]]",[12],[['S']],-1.0
5,"[10, 11]","[5, 7, 8]",20,"[[10, 11]]",['BJ'],[['S']],1.5
2,"[4, 7]","[2, 10, 2, 10]",24,"[[4, 7, 11]]",[12],[['D']],2.0
6,"[3, 10]","[6, 10, 3]",19,"[[3, 10]]",[13],[['S']],-1.0
10,"[7, 5]","[10, 7]",17,"[[7, 5, 7]]",[19],"[['H', 'S']]",1.0
10,"[10, 4]","[10, 2, 4, 10]",26,"[[10, 4, 4]]",[18],"[['H', 'S']]",1.0
8,"[5, 10]","[8, 10]",18,"[[5, 10, 7]]",[22],[['H']],-1.0
10,"[6, 9]","[10, 5, 11, 6]",22,"[[6, 9]]",[15],[['R']],-0.5
3,"[11, 5]","[3, 10, 6]",19,"[[11, 5, 5]]",[21],"[['H', 'S']]",1.0
11,"[4, 6]","[11, 8]",19,"[[4, 6, 2, 10]]",[22],"[['N', 'H', 'H']]",-1.0
4,"[2, 2]","[4, 10, 10]",24,"[[2, 10], [2, 3, 10]]","[12, 15]","[['P', 'S'], ['H', 'S']]",2.0
8,"[9, 2]","[8, 10]",18,"[[9, 2, 10]]",[21],[['D']],2.0
6,"[10, 6]","[6, 3, 2, 8]",19,"[[10, 6]]",[16],[['S']],-1.0
11,"[10, 10]","[11, 7]",18,"[[10, 10]]",[20],"[['N', 'S']]",1.0
7,"[8, 10]","[7, 3, 10]",20,"[[8, 10]]",[18],[['S']],-1.0
10,"[2, 10]","[10, 9]",19,"[[2, 10, 10]]",[22],[['H']],-1.0
9,"[5, 10]","[9, 2, 10]",21,"[[5, 10, 3]]",[18],"[['H', 'S']]",-1.0
11,"[3, 3]","[11, 10]",BJ,"[[3, 3]]",[6],[['N']],-1.0
3,"[11, 10]","[3, 10, 10]",23,"[[11, 10]]",['BJ'],[['S']],1.5
5,"[8, 8]","[5, 10, 3]",18,"[[8, 2, 9], [8, 10]]","[19, 18]","[['P', 'D'], ['S']]",2.0
10,"[6, 10]","[10, 10]",20,"[[6, 10]]",[16],[['R']],-0.5
9,"[7, 10]","[9, 8]",17,"[[7, 10]]",[17],[['S']],0.0
5,"[3, 4]","[5, 10, 8]",23,"[[3, 4, 3, 6]]",[16],"[['H', 'H', 'S']]",1.0
7,"[3, 5]","[7, 4, 7]",18,"[[3, 5, 11]]",[19],"[['H', 'S']]",1.0
10,"[6, 4]","[10, 10]",20,"[[6, 4, 5, 4]]",[19],"[['H', 'H', 'S']]",-1.0
4,"[10, 6]","[4, 6, 8]",18,"[[10, 6]]",[16],[['S']],-1.0
10,"[10, 7]","[10, 9]",19,"[[10, 7]]",[17],[['S']],-1.0
